ticker,year,hq_state,total_deposits_k,hq_state_deposits_k,locality,n_states,n_branches,n_certs,top_state,top_state_share
FULT,2009,PA,11822174.0,6464664.0,0.5468253131784391,5,273,10,PA,0.5468253131784391
FULT,2010,PA,12459614.0,7137123.0,0.5728205544730358,5,276,8,PA,0.5728205544730358
FULT,2011,PA,12381369.0,7258851.0,0.5862720834828523,5,277,7,PA,0.5862720834828523
FULT,2012,PA,12403520.0,7419279.0,0.5981591515956761,5,274,6,PA,0.5981591515956761
FULT,2013,PA,12401319.0,7428669.0,0.5990224910753444,5,272,6,PA,0.5990224910753444
FULT,2014,PA,12892838.0,7746832.0,0.6008632079298599,5,260,6,PA,0.6008632079298599
FULT,2015,PA,13811929.0,8368840.0,0.6059139168757673,5,251,6,PA,0.6059139168757673
FULT,2016,PA,14435175.0,8774468.0,0.6078532473627788,5,249,6,PA,0.6078532473627788
FULT,2017,PA,15492861.0,9313082.0,0.6011208646356538,5,247,6,PA,0.6011208646356538
FULT,2018,PA,15759398.0,9468049.0,0.6007874793186897,5,242,6,PA,0.6007874793186897
FULT,2019,PA,16493305.0,9897753.0,0.6001073162716629,5,236,3,PA,0.6001073162716629
FULT,2020,PA,19978600.0,12111332.0,0.6062152503178401,5,229,1,PA,0.6062152503178401
FULT,2021,PA,21869522.0,13260562.0,0.6063489636399003,5,208,1,PA,0.6063489636399003
FULT,2022,PA,21242684.0,12687831.0,0.5972800329751174,5,208,1,PA,0.5972800329751174
FULT,2023,PA,21382678.0,13219784.0,0.6182473495602375,5,210,1,PA,0.6182473495602375
FULT,2024,PA,25761661.0,14936412.0,0.5797922734873345,6,243,1,PA,0.5797922734873345
FULT,2025,PA,26381618.0,15018980.0,0.5692971522823203,5,209,1,PA,0.5692971522823203
GBCI,2009,MT,3450300.0,2040331.0,0.5913488682143582,6,94,10,MT,0.5913488682143582
GBCI,2010,MT,4578387.0,2653458.0,0.579561753953958,6,98,11,MT,0.579561753953958
GBCI,2011,MT,4745490.0,2752565.0,0.5800380993322081,6,98,11,MT,0.5800380993322081
GBCI,2012,MT,5016520.0,2914710.0,0.5810223023131573,6,98,1,MT,0.5810223023131573
GBCI,2013,MT,5404404.0,3111264.0,0.5756904924206259,6,101,1,MT,0.5756904924206259
GBCI,2014,MT,5807667.0,3117396.0,0.5367725112338569,6,109,1,MT,0.5367725112338569
GBCI,2015,MT,6591607.0,3433450.0,0.5208820853549067,6,128,1,MT,0.5208820853549067
GBCI,2016,MT,7136839.0,3560064.0,0.4988292435908951,6,132,1,MT,0.4988292435908951
GBCI,2017,MT,7823140.0,3784614.0,0.4837717336005747,7,134,1,MT,0.4837717336005747
GBCI,2018,MT,9471999.0,4759716.0,0.5025038537271805,7,150,1,MT,0.5025038537271805
GBCI,2019,MT,9929512.0,4875213.0,0.49098213487228776,7,161,1,MT,0.49098213487228776
GBCI,2020,MT,13438433.0,5547923.0,0.4128400238331359,8,176,1,MT,0.4128400238331359
GBCI,2021,MT,16888445.0,7206605.0,0.4267180903866519,8,177,1,MT,0.4267180903866519
GBCI,2022,MT,21912239.0,7706307.0,0.35168961966871576,8,203,1,MT,0.35168961966871576
GBCI,2023,MT,20126170.0,7614605.0,0.3783434702181289,8,199,1,MT,0.3783434702181289
GBCI,2024,MT,20264352.0,7226160.0,0.3565946742338467,8,206,1,MT,0.3565946742338467
GBCI,2025,MT,21806818.0,7973219.0,0.36562963931739145,8,221,1,MT,0.36562963931739145
HBAN,2009,OH,38851293.0,25825305.0,0.6647218922675238,7,650,1,OH,0.6647218922675238
HBAN,2010,OH,39496033.0,25254232.0,0.6394118619457301,7,657,1,OH,0.6394118619457301
HBAN,2011,OH,41393309.0,26723960.0,0.6456106227216577,7,696,1,OH,0.6456106227216577
HBAN,2012,OH,45900403.0,29965104.0,0.6528287779956965,7,730,1,OH,0.6528287779956965
HBAN,2013,OH,47022089.0,30843245.0,0.6559309817137218,7,773,1,OH,0.6559309817137218
HBAN,2014,OH,49250543.0,32491902.0,0.6597267770225397,7,759,1,OH,0.6597267770225397
